Number,Date,Tortilla,Cheese,Bean,Green,Sauce,Meat,Veggie,Restaurant,Seasoning,method,Other
1,1-Jan,Mission,Colby Jack,Black,,7-layered dip,,,,,pan,
2,2-Jan,Mission,cheddar,,,Guasacaca,,,,,pan,
3,3-Jan,Mission,some,,,Hummus,,,,,pan,
4,4-Jan,Mission,some,,,Spinach Artichoke,,,,,pan,
5,5-Jan,Mission,cheddar,,,,Garlic steak,,,,pan,
6,6-Jan,Mission,Swiss,,,Garlic marinade,Garlic steak,,,,pan,
7,7-Jan,Mission,mozzarella,,,,Garlic steak,roasted tomato,,,pan,
8,8-Jan,Mission,mozzarella/cheddar,,,,egg,potato,,,pan,
9,9-Jan,Mission,some,,,,teriyaki beef,orange,,,pan,
10,10-Jan,Mission,some,some,,garlic,,,,,pan,
11,11-Jan,Mission,some,some,,,egg,potato,,,pan,
12,12-Jan,some,some,,lettuce,guacamole/sour cream,chicken,tomato,Guero,,pan,
13,13-Jan,some,some,,lettuce,apple butter/guacamole,chicken,tomato,Guero,,pan,
14,14-Jan,Mission,some,,,café rio dressing,egg,potato/tomato,,,pan,
15,15-Jan,Mission,some,black,,apple butter/mango habanero/horseradish,egg,potato,,,pan,
16,16-Jan,Mission,mozzarella,,,mango habanero,pepper bacon,,,,pan,
17,17-Jan,,,,,,,,,,,
18,18-Jan,Mission,Colby Jack,black,spring mix,mango habanero,,onion/tomato,,,pan,
19,19-Jan,Mission,some,,,,,cucumber,,Chile lime,pan,
20,20-Jan,Mission,Colby Jack,black,spring mix,lime juice/mango habanero,,onion/tomato/cucumber,,,pan,
21,21-Jan,Mission,mac&,,,,sloppy joe,,,,pan,
22,22-Jan,,,,,,,,,,,
23,23-Jan,Mission,cream,,,mango habanero,,potato,,,pan,
24,24-Jan,Mission,cheddar,,,red enchilada,chicken,,,,pan,
25,25-Jan,Mission,goat,,,,,,,,pan,
26,26-Jan,Mission,outer cheddar,black,,mango habanero,,,,,pan,
27,27-Jan,Mission,outer cheddar,pinto,spring mix,mango habanero,,onion,,,pan,
28,28-Jan,Mission,some,,,mango habanero,,,,,microwave,
29,29-Jan,Mission,Mexican crumbling/fresh mozzarella,pinto,,pizza,,,,,pan then oven,
30,30-Jan,Mission,Colby Jack,,,,fish,tomato,,,pan,
31,31-Jan,Mission,Mexican crumbling/fresh mozzarella,,lettuce,basil paste/mango habanero/pizza,fish,,,,oven then pan,
32,1-Feb,Mission,some,,,,,,,,pan,
33,2-Feb,Mission,Mexican crumbling,,,basil paste/mango habanero,fish,,,chile lime,pan,
34,3-Feb,Mission,sharp cheddar,refried navy,,fry,,,,,pan,
35,4-Feb,Mission,cheddar,refried black,spring mix,,,avocado/tomato,,,,
36,5-Feb,Mission/corn,sharp cheddar,some,,basil paste/mango habanero,fish,avocado/tomato,,,,
37,6-Feb,Mission,some,black,spring mix,mango habanero,egg,avocado/tomato/potato,,,,
38,7-Feb,Mission,ricotta,,,,ground beef,lasagna,,,,
39,8-Feb,corn,cheddar,,,,ground beef,avocado/tomato,,elote,,
40,9-Feb,corn,fresh mozzarella,,,basil paste,,tomato,,,,
41,10-Feb,Mission,sharp cheddar,refried black+pinto,spring mix,verde/tapatio,,avocado/tomato/onion,,,,
42,11-Feb,Mission/corn,fresh mozzarella/sharp cheddar,pinto,spring mix,mango habanero,,onion/tomato,,,,
43,12-Feb,Mission,cheddar,,spinach,salsa/sour cream/tomato soup,egg tortilla,mushroom/tomato,,garlic,,
44,13-Feb,Mission,sharp cheddar,pinto,spring mix,mayonnaise/salsa,,sauteed onion,,garlic,,
45,14-Feb,Mission,sharp cheddar,black,spring mix,mango habanero,,sweet potato,,garlic,,
46,15-Feb,Mission,cream,,spring mix,mango habanero,,microwave potato,,cocoa cinnamon sugar,,
47,16-Feb,Mission,cheddar,black,,bacon grease/mango habanero,,,,,,
48,17-Feb,Mission,ricotta,black,,,,,,chile lime,,
49,18-Feb,Mission,mascarpone,,,tapatio,taco beef,mashed potato,,salt,,
50,19-Feb,Mission,mascarpone,navy,,,,,,,,
51,20-Feb,corn,brie,,,raspberry jam,,,,,,
52,21-Feb,Mission,Monterey Jack,black,,tapatio,,avocado/tomato/onion,,,,
