state,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
Alabama,5.6,6,6.5,6.9,6.5,6.1,6.5,6.3,6.4,5.9,6.3,6,6.7,6,4.8,3.6,2.1,1.7
Alaska,6.2,6.6,7.1,6,6.8,7.5,7.7,7.9,7.1,5.7,5.5,5.5,6.4,5,4.1,2.8,1.2,1
Arizona,5.3,5.9,6.1,6.7,6.7,6.8,7,6.4,6.3,5.7,5.9,5.6,6.3,5.7,5.2,4.1,2.5,1.9
Arkansas,5.8,6.4,6.4,7,6.6,6.2,6.6,6.3,6.7,5.8,5.9,5.7,6.5,5.9,4.6,3.5,2.2,1.8
California,5.4,5.8,6.5,6.7,6.5,6.9,7.6,7.2,6.8,6.2,6.3,6,6,5.2,4.2,3,1.9,1.8
Colorado,5.2,5.4,6.2,6.4,6.5,7.6,8.2,7.8,7.1,6.1,6.1,5.4,6.1,5.4,4.5,3.1,1.7,1.5
Connecticut,5,5.4,5.7,6.7,6.4,6.1,6.4,6.4,6.6,5.8,6.4,6.7,7.3,6.1,4.9,3.6,2.3,2.2
Delaware,5.3,5.4,6.2,6.3,6,5.6,6.5,6.1,6.3,5.2,5.9,6.4,7.5,6.8,6.1,3.9,2.4,2.1
District of Columbia,5.7,5.4,5,5.3,7.5,10.3,11,9.4,7.4,5.5,5.1,4.7,4.6,3.9,3.7,2.7,1.6,1.3
Florida,5,5.2,5.6,5.9,5.7,5.9,6.5,6.5,6.3,5.9,6.3,6.3,7.1,6.3,5.5,4.6,2.9,2.4
Georgia,5.6,6.2,6.8,7.1,6.7,6.7,7.1,6.7,6.8,6.2,6.6,6.1,6.1,5.1,4.2,3,1.7,1.3
Hawaii,5.4,5.6,6.1,5.4,6,6,6.9,6.6,6.8,5.7,5.9,5.9,6.3,6.1,5.5,4.3,2.7,2.5
Idaho,5.6,6.5,7.1,7.5,6.8,6.3,6.6,6.5,6.7,5.9,5.6,5.3,6.1,5.6,5,3.2,2.1,1.5
Illinois,5.3,6,6.2,6.6,6.5,6.6,6.8,6.6,6.7,6.1,6.3,6.1,6.6,5.7,4.6,3.1,2.1,2
Indiana,5.9,6.4,6.5,7.1,6.9,6.4,6.6,6.4,6.4,5.8,6.1,5.9,6.4,5.7,4.6,3.1,2.1,1.7
Iowa,5.7,6.2,6.6,7,6.9,6.2,6.3,6.2,6.6,5.7,5.7,5.7,6.7,5.8,5,3.3,2.3,2.2
Kansas,5.8,6.2,7,7.2,7.3,6.5,6.4,6.5,6.7,5.5,5.6,5.4,6.4,5.6,4.8,3.2,2,1.9
Kentucky,5.8,6.2,6.4,6.3,6.6,6.4,6.7,6.4,6.1,6,6.3,6.2,6.6,5.8,4.9,3.4,2.1,1.6
Louisiana,6,6.5,6.6,6.6,6.4,6.1,6.8,6.6,7,5.7,5.9,5.8,6.6,5.7,4.9,3.3,1.9,1.6
Maine,4.3,4.8,5.2,5.7,5.5,5.7,6.3,6.1,6.5,5.5,6.5,6.8,8,7.4,6.2,4.4,2.8,2.2
Maryland,5.6,6.1,6.3,6.5,5.9,6,6.8,7,6.8,6.1,6.4,6.6,6.7,5.5,4.6,3.3,2,1.8
Massachusetts,4.9,5.2,5.5,6.5,6.8,6.7,7.1,6.9,6.4,5.8,6.3,6.5,7,5.9,4.9,3.5,2.2,2
Michigan,5.3,5.8,6.1,6.4,6.6,6.3,6.8,6.2,6.1,5.6,6.2,6.4,6.9,6.4,5.2,3.5,2.3,1.9
Minnesota,5.7,6.1,6.7,6.7,6.1,6.3,6.6,7,6.6,5.8,5.8,5.9,6.7,5.8,4.7,3.2,2.1,2
Mississippi,5.7,6,6.8,7.6,6.6,5.9,6,6.1,7.1,6.1,6,5.8,6.7,5.8,4.8,3.3,2,1.6
Missouri,5.6,6.1,6.3,6.7,6.6,6.3,6.7,6.5,6.4,5.7,5.9,5.9,6.8,6,4.9,3.4,2.2,1.9
Montana,4.9,6,6.2,6,6.6,6.1,6.6,6.7,6.6,5.6,5.5,5.7,6.9,6.6,5.9,3.8,2.4,1.9
Nebraska,6.1,6.6,7.1,7,7.1,6.4,6.5,6.5,6.7,5.7,5.5,5.2,6.4,5.6,4.6,3.2,2,1.8
Nevada,5.4,6,6.1,6.2,5.7,6.7,7.5,7.1,6.9,6.1,6.4,6,6.3,5.6,4.8,3.5,2.1,1.4
New Hampshire,4.5,4.6,5.4,6,6,6,6.6,6.9,6,5.5,6.5,7,8.5,7,5.5,3.9,2.4,1.8
New Jersey,5.6,5.8,6.3,6.3,5.9,6.1,6.6,6.8,6.6,6.3,6.6,6.6,6.8,5.8,4.5,3.4,2.2,1.9
New Mexico,4.9,5.5,6.7,6.6,6.6,6.3,6.8,6.7,6.4,5.6,5.7,5.3,6.8,6,5.8,3.9,2.3,2
