awardYear,category,id,givenName,familyName,fullName,gender,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1901,Physiology or Medicine,293,Emil,von Behring,Emil Adolf von Behring,male,1854-03-15,Hansdorf,Lawice,Europe,Prussia,Poland,"Hansdorf, Prussia (now Lawice, Poland)",3/31/17,Marburg,Marburg,Europe,Germany,Germany,"Marburg, Germany",,"Marburg University, Marburg, Germany",,,
1901,Peace,463,Frédéric,Passy,Frédéric Passy,male,1822-05-20,Paris,Paris,Europe,France,France,"Paris, France",6/12/12,Paris,Paris,Europe,France,France,"Paris, France",,,,,
1901,Peace,462,Henry,Dunant,Jean Henry Dunant,male,1828-05-08,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",10/30/10,Heiden,Heiden,Europe,Switzerland,Switzerland,"Heiden, Switzerland",,,,,
1901,Chemistry,160,Jacobus H.,van 't Hoff,Jacobus Henricus van 't Hoff,male,1852-08-30,Rotterdam,Rotterdam,Europe,the Netherlands,the Netherlands,"Rotterdam, the Netherlands",3/1/11,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",,"Berlin University, Berlin, Germany",,,
1901,Literature,569,Sully,Prudhomme,Sully Prudhomme,male,1839-03-16,Paris,Paris,Europe,France,France,"Paris, France",9/7/07,Châtenay,Châtenay,Europe,France,France,"Châtenay, France",,,,,
1901,Physics,1,Wilhelm Conrad,Röntgen,Wilhelm Conrad Röntgen,male,1845-03-27,Lennep,Remscheid,Europe,Prussia,Germany,"Lennep, Prussia (now Remscheid, Germany)",2/10/23,Munich,Munich,Europe,Germany,Germany,"Munich, Germany",,"Munich University, Munich, Germany",,,
1902,Peace,464,Élie,Ducommun,Élie Ducommun,male,1833-02-19,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",12/7/06,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",,,,,
1902,Peace,465,Albert,Gobat,Charles Albert Gobat,male,1843-05-21,Tramelan,Tramelan,Europe,Switzerland,Switzerland,"Tramelan, Switzerland",3/16/14,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",,,,,
1902,Chemistry,161,Emil,Fischer,Hermann Emil Fischer,male,1852-10-09,Euskirchen,Euskirchen,Europe,Prussia,Germany,"Euskirchen, Prussia (now Germany)",7/15/19,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",,"Berlin University, Berlin, Germany",,,
1902,Physics,2,Hendrik A.,Lorentz,Hendrik Antoon Lorentz,male,1853-07-18,Arnhem,Arnhem,Europe,the Netherlands,the Netherlands,"Arnhem, the Netherlands",2/4/28,,,Europe,the Netherlands,the Netherlands,the Netherlands,,"Leiden University, Leiden, the Netherlands",,,
1902,Physics,3,Pieter,Zeeman,Pieter Zeeman,male,1865-05-25,Zonnemaire,Zonnemaire,Europe,the Netherlands,the Netherlands,"Zonnemaire, the Netherlands",10/9/43,Amsterdam,Amsterdam,Europe,the Netherlands,the Netherlands,"Amsterdam, the Netherlands",,"Amsterdam University, Amsterdam, the Netherlands",,,
1902,Physiology or Medicine,294,Ronald,Ross,Ronald Ross,male,1857-05-13,Almora,Almora,Asia,India,India,"Almora, India",9/16/32,Putney Heath,Putney Heath,Europe,United Kingdom,United Kingdom,"Putney Heath, United Kingdom",,"University College, Liverpool, United Kingdom",,,
1902,Literature,571,Theodor,Mommsen,Christian Matthias Theodor Mommsen,male,1817-11-30,Garding,Garding,Europe,Schleswig,Germany,"Garding, Schleswig (now Germany)",11/1/03,Charlottenburg,Charlottenburg,Europe,Germany,Germany,"Charlottenburg, Germany",,,,,
1903,Literature,572,Bjørnstjerne,Bjørnson,Bjørnstjerne Martinus Bjørnson,male,1832-12-08,Kvikne,Kvikne,Europe,Norway,Norway,"Kvikne, Norway",4/26/10,Paris,Paris,Europe,France,France,"Paris, France",,,,,
1903,Physics,4,Henri,Becquerel,Antoine Henri Becquerel,male,1852-12-15,Paris,Paris,Europe,France,France,"Paris, France",8/25/08,,,Europe,France,France,France,,"École Polytechnique, Paris, France",,,
1903,Physics,6,Marie,Curie,"Marie Curie, née Sklodowska",female,1867-11-07,Warsaw,Warsaw,Europe,Russian Empire,Poland,"Warsaw, Russian Empire (now Poland)",7/4/34,Sallanches,Sallanches,Europe,France,France,"Sallanches, France",,,,,
1903,Physiology or Medicine,295,Niels Ryberg,Finsen,Niels Ryberg Finsen,male,1860-12-15,Thorshavn,Thorshavn,Europe,Faroe Islands (Denmark),Faroe Islands (Denmark),"Thorshavn, Faroe Islands (Denmark)",9/24/04,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",,"Finsen Medical Light Institute, Copenhagen, Denmark",,,
1903,Physics,5,Pierre,Curie,Pierre Curie,male,1859-05-15,Paris,Paris,Europe,France,France,"Paris, France",4/19/06,Paris,Paris,Europe,France,France,"Paris, France",,"École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry), Paris, France",,,
1903,Peace,466,Randal,Cremer,William Randal Cremer,male,1828-03-18,Fareham,Fareham,Europe,United Kingdom,United Kingdom,"Fareham, United Kingdom",7/22/08,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,,,,
1903,Chemistry,162,Svante,Arrhenius,Svante August Arrhenius,male,1859-02-19,Vik,Vik,Europe,Sweden,Sweden,"Vik, Sweden",10/2/27,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",,"Stockholm University, Stockholm, Sweden",,,
1904,Literature,573,Frédéric,Mistral,Frédéric Mistral,male,1830-09-08,Maillane,Maillane,Europe,France,France,"Maillane, France",3/25/14,Maillane,Maillane,Europe,France,France,"Maillane, France",,,,,
1904,Physiology or Medicine,296,Ivan,Pavlov,Ivan Petrovich Pavlov,male,1849-09-14,Ryazan,Ryazan,Europe,Russia,Russia,"Ryazan, Russia",2/27/36,Leningrad,Leningrad,Europe,Russia,Russia,"Leningrad, Russia",,"Military Medical Academy, St. Petersburg, Russia",,,
1904,Literature,574,José,Echegaray,José Echegaray y Eizaguirre,male,1832-04-19,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",9/4/16,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",,,,,
1904,Physics,8,Lord,Rayleigh,Lord Rayleigh (John William Strutt),male,1842-11-12,"Langford Grove, Maldon, Essex","Langford Grove, Maldon, Essex",Europe,United Kingdom,United Kingdom,"Langford Grove, Maldon, Essex, United Kingdom",6/30/19,,,Europe,United Kingdom,United Kingdom,United Kingdom,,"Royal Institution of Great Britain, London, United Kingdom",,,
1904,Chemistry,163,Sir William,Ramsay,Sir William Ramsay,male,1852-10-02,Glasgow,Glasgow,Europe,Scotland,Scotland,"Glasgow, Scotland",7/23/16,High Wycombe,High Wycombe,Europe,United Kingdom,United Kingdom,"High Wycombe, United Kingdom",,"University College, London, United Kingdom",,,
1905,Chemistry,164,Adolf,von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,male,1835-10-31,Berlin,Berlin,Europe,Prussia,Germany,"Berlin, Prussia (now Germany)",8/20/17,Starnberg,Starnberg,Europe,Germany,Germany,"Starnberg, Germany",,"Munich University, Munich, Germany",,,
1905,Peace,468,Bertha,von Suttner,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",female,1843-06-09,Prague,Prague,Europe,Austrian Empire,Czech Republic,"Prague, Austrian Empire (now Czech Republic)",6/21/14,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",,,,,
1905,Literature,575,Henryk,Sienkiewicz,Henryk Sienkiewicz,male,1846-05-05,Wola Okrzejska,Wola Okrzejska,Europe,Poland,Poland,"Wola Okrzejska, Poland",11/15/16,Vevey,Vevey,Europe,Switzerland,Switzerland,"Vevey, Switzerland",,,,,
1905,Physics,9,Philipp,Lenard,Philipp Eduard Anton von Lenard,male,1862-06-07,Pressburg,Bratislava,Europe,Hungary,Slovakia,"Pressburg, Hungary (now Bratislava, Slovakia)",5/20/47,Messelhausen,Messelhausen,Europe,Germany,Germany,"Messelhausen, Germany",,"Kiel University, Kiel, Germany",,,
